"country","questionnaire","context","text"
"Algeria","Systems","PublicFinance","feg"
"Algeria","Systems","PublicFinance","czvz"
"Argentina","Agency","Agency","Chatbot MIA - chatbot de consulta de cara a la ciudadanía"
"Argentina","Agency","Agency","Trayectoria formativa en IA"
"Argentina","Agency","Agency","Predicción de deserción escolar"
"Australia","Agency","Agency","AI for Operational Blueprint (OB – Knowledge Management): AI for OB is a digital tool that helps staff quickly find clear and consistent information they need to support people in using Services Australia’s payments and services. It is designed to benefit frontline staff and, in turn, the public, by making it easier to locate the right guidance without searching through long or complex documents. The initiative was developed to address delays, confusion, and errors caused by difficult information searches, and to give staff more time to focus on helping people with their individual needs."
"Australia","Agency","Agency","CLIKChat – an internal chatbot that supports Department of Veterans’ Affairs that summarises information from publicly available government sources – is designed to help staff easily navigate publicly available policy and compensation information and aims to improve the speed and accuracy of information for claims teams. The tool draws solely on public, non-personal information."
"Australia","Agency","Agency","TM Checker is IP Australia's free trade mark availability check designed to lower the bar of entry for small to medium businesses by simplifying the learning process of a complex IP system. The tool allows customers to check the potential registrability of their trademarks and then proceed through the application process. TM Checker guides customers through a step-by-step process. It leverages AI-powered search tools to identify potential issues. This includes similarity and distinctiveness, the most common reasons for rejection."
"Australia","Manager","PublicFinance","Documents Register Agent.

Finance developed the Document Register Agent (DRA) an AI-enabled tool that supports a business area to extract and record key information from documents. It uses AI and automation to extract key information from documents and store it in a consistent format. DRA was developed to improve access to historical records, reduce duplication of work, and address problems caused by broken links, inconsistent document formats and limited searchability."
"Australia","Manager","PublicFinance","GovAI Chat.

GovAI Chat is a secure, government-controlled generative AI tool developed specifically for the Australian Public Service (APS).  
The goal of GovAI Chat is to give public servants access to the advanced AI capabilities of a contemporary chat interface tailored to the APS context – with the security, compliance, and public sector knowledge embedded in the GovAI environment."
"Australia","Manager","Tax","Tax Time Nudging – help reduce taxpayer compliance costs and improve the efficiency of the tax system."
"Australia","Manager","Tax","MyID Fraud Detection - myID digital platform provides an easy and secure way for individuals to prove their identity and access a range of government online services. We use AI to scan all myID accounts to identify and risk score the likelihood of digital identity theft (third-party fraud)."
"Australia","Manager","Tax","AI-assisted Law Interpretation and Insight – AI learns from law frameworks and precedential rulings to suggest correct application of the law. This helps clients understand and comply with legislation correctly and helps case officers make consistent decisions."
"Australia","Systems","Tax","Tax Time Nudging – help reduce taxpayer compliance costs and improve the efficiency of the tax system."
"Australia","Systems","Tax","MyID Fraud Detection - myID digital platform provides an easy and secure way for individuals to prove their identity and access a range of government online services. We use AI to scan all myID accounts to identify and risk score the likelihood of digital identity theft (third-party fraud)."
"Australia","Systems","Tax","AI-assisted Law Interpretation and Insight – AI learns from law frameworks and precedential rulings to suggest correct application of the law. This helps clients understand and comply with legislation correctly and helps case officers make consistent decisions."
"Austria","Agency","Agency","GovGPT"
"Austria","Agency","Agency","AI in the Electronic file management system"
"Austria","Agency","Agency","Grants4Companies"
"Austria","Manager","Health","internal instance of Open WebUI: knowledge management, drafting texts"
"Austria","Manager","PublicFinance","Fraud Detection - Employee tax assessment, Child benefit and many more"
"Austria","Manager","PublicFinance","Digitization of land registries"
"Austria","Manager","PublicFinance","for everything"
"Austria","Manager","Tax","Predictive Analytics - Fraud Detection"
"Austria","Systems","Tax","TMIS Ecosystem"
"Azerbaijan","Agency","Agency","Voice Bot"
"Azerbaijan","Agency","Agency","Document Management System"
"Azerbaijan","Agency","Agency","Digital Twin for Transport"
"Belgium","Agency","Agency","Artificial intelligence for social fraud detection by the National Social Security Office (RSZ)"
"Belgium","Agency","Agency","Chatbots DIV, Bea, Dofi etc."
"Belgium","Agency","Agency","Belgium's AI Antenna BE-AIFA"
"Benin","Agency","Agency","GPT-BJ : Chatbot sur le site des services publics qui permet d'orienter les citoyens vers le bon service selon leur besoin"
"Benin","Agency","Agency","Anonymisation intelligente de données : Module permettant d'identifier automatiquement les données personnelles sur des données structurées ou document grâce aux LLM"
"Benin","Agency","Agency","Intelligent Document Processing : Extraire des données structurées à partir de documents comme le passeport, un levé topographique ou encore un acte de naissance. Permet le traitement automatique de demandes grâce aux agents IA"
"Benin","Manager","PublicFinance","CUSTOMS WEBB - Détection de fraude dans les déclaration en douane -  système d'information dou    anier"
"Benin","Manager","PublicFinance","eRepertoire"
"Benin","Manager","PublicFinance","SECUROUTE - détection de comportements deviants dans les contrôles routiers"
"Benin","Systems","Procurement","Chatbot pour se renseigner sur la procedure"
"Benin","Systems","Procurement","Assistant vocal pour la prise d'information"
"Benin","Systems","Procurement","Analyse des documents soumis"
"Bhutan","Agency","Agency","Chatbot"
"Bhutan","Agency","Agency","Dzongkha NLP"
"Bhutan","Agency","Agency","Machine Translation from English to Dzongkha for public service delivery portal"
"Bhutan","Systems","CivilService","chatbot for RCSC"
"Brazil","Agency","Agency","Tax Collection"
"Burkina Faso","Agency","Agency","LegiChat, offrir un assistant interactif pour permettre au citoyen d’interroger le corpus législatif du Burkina Faso."
"Burkina Faso","Agency","Agency","BeatMonitor, Exploiter par le bureau du droit d'auteur pour détecter l'exploitation d'une œuvre de l'esprit a la télé, a la radio, dans les bar, restaurant, et faire un tableau de bord qui facilite la répartition des droits"
"Burkina Faso","Agency","Agency","Meta Oeil, Solution de détection d'accidents a partir des images de surveillance vidéos urbaines"
"Burkina Faso","Manager","CivilService","Plateforme d'inscription aux concours directs de la fonction publique"
"Burkina Faso","Manager","CivilService","Plateforme d'inscription aux concours professionnels de la fonction publique"
"Burkina Faso","Manager","CivilService","Plate de Correction électronique des copies des candidats"
"Burkina Faso","Manager","Education","Aucun"
"Burkina Faso","Systems","CivilService","Système d'accès en Ligne aux Informations Administratives et Salariales (ALIAS)"
"Burkina Faso","Systems","CivilService","econcours.gov.bf , inscriptions en ligne aux concours professionnels"
"Burkina Faso","Systems","CivilService","Circuit intégré des missions (développé par l'ANPTIC)"
"Cambodia","Agency","Agency","TranslateKH -  A machine translation tool for both English -> Khmer and Khmer -> English"
"Cambodia","Agency","Agency","EKYC"
"Cambodia","Agency","Agency","Sarika - A text to speech platform for Khmer language"
"Cambodia","Manager","Tax","GDT Chatbot – BEAURAMEI, it works as an official digital service to provide tax-related information, announcements, and general assistance to the public 24H/7."
"Cambodia","Manager","Tax","GDT Lucky Draw Bot, it operates the GDT Telegram Lucky Draw Bot as an official digital service to allow users to conveniently submit invoices or receipts paid to businesses, participate in the tax lucky draw program, and receive related tax information and announcements."
"Cambodia","Systems","CivilService","Not yet"
"Canada","Agency","Agency","Public Service and Procurement Canada’s GC Translate: A self-service language hub that provides employees with access to a variety of secure, real-time AI-driven language tools, trained with Canadian data."
"Canada","Agency","Agency","Canada’s Pre-load Air Cargo Targeting: A system that uses AI to detect risks in air cargo shipment data, making the transport of air cargo more secure and reducing the risk that concealed explosive devices or threat items cause harm to the transportation sector and the traveling public."
"Canada","Agency","Agency","Employment and Social Development’s Temporary Foreign Worker Program (TFWP) Labor Market Impact Assessment (LMIA) and Fraud Detection: The project aims to develop an RPA/AI-generated report that enhances TFWP officers' efficiency in reviewing LMIA by automating data analysis and identifying potential fraud."
"Canada","Manager","CivilService","Microsoft Copilot: General-purpose generative AI solution"
"Canada","Manager","CivilService","GitHub Copilot: Generative AI solution specialized in programming code generation and application development support."
"Canada","Manager","CivilService","DEEPL PRO: Translation solution"
"Canada","Manager","Procurement","Microsoft Copilot: Act as a ""virtual assistant"" to improve productivity by executing tasks automatically or suggesting solutions based on artificial intelligence."
"Canada","Manager","Tax","Digital Identity Verification"
"Canada","Manager","Tax","Genni - Provide a secure Protected B GenAI platform for personal productivity, integration into business flows with RAG and system prompt capabilities"
"Canada","Systems","CivilService","Artificial Intelligence Virtual Assistant (AIVA): Automates pay intake, calculations, and document handling, with all outputs reviewed, validated, and approved by compensation professionals.

The Compensation Virtual Assistant chatbot provides timely, reliable answers drawn from over 80,000 business rules, 150+ collective agreements, and more than 40,000 pages of directives, terms and conditions, and salary tables.

AIVA is a key component of the Government of Canada’s compensation services modernization. It supports the transformation of the HR-to-Pay intake process from a manual, transaction-based model to an efficient, data-driven, and client-centric approach. By combining intelligent automation with a user-friendly interface, AIVA reduces administrative burden, accelerates intake processing, and enables Compensation Advisors to focus on higher-value work."
"Canada","Systems","PublicFinance","Custom tool for proof of concept purpose: Fraud detection proof of concept"
"Canada","Systems","Tax","automated risk assessment tool"
"Chile","Agency","Agency","Analista Virtual en gestión de licencias médicas de FONASA.
Objetivo: Disminuir los tiempos de procesamiento de licencias médicas y acortar el plazo de pago por parte de las COMPIN."
"Chile","Agency","Agency","Modelo Predictivo para fiscalizaciones proactivas de la Dirección del Trabajo (DT)
Objetivo: Aumentar la eficacia de las fiscalizaciones proactivas."
"Chile","Agency","Agency","DART: Inteligencia Artificial en oftalmología utilizada por el Ministerio de Salud (Minsal)
Objetivo: Prevenir desarrollo de retinopatía diabética y mejorar disponibilidad de oftalmólogos."
"Chile","Manager","CivilService","Sistema de Evaluación Curricular, Eficientar la etapa de evaluación curricular en el proceso de selección que realizan los servicios públicos."
"Chile","Manager","CivilService","Sistema de búsqueda y atracción de talentos, head hunting sobre base de practicantes exitoso del estado del Chile, para integrarse a servicios públicos como primera experiencia laboral."
"Chile","Manager","CivilService","Búsqueda en profundidad de antecedentes públicos de postulantes a cargos de Alta Dirección Pública"
"Chile","Manager","Health","Codificación automatizada utilizando procesamiento de lenguaje natural"
"Chile","Manager","Health","."
"Chile","Manager","Procurement","Herramienta LLM Observatorio - Detección de irregularidades en procesos de compra"
"Chile","Manager","Procurement","Agente para el apoyo a la evaluación de Licitaciones"
"Chile","Manager","Procurement","Comparador de precios - Comparación de precios mediante el match de productos entre canales de compra y comparación con el mercado"
"Chile","Manager","Tax","Buscador de contenidos del sitio web www.sii.cl"
"Chile","Manager","Tax","Chatbot de apoyo a la Jurisprudencia"
"Chile","Manager","Tax","PoC para desarrollo de API con IA"
"Chile","Systems","Procurement","Evaluador de Licitaciones asistida por Agentes - Evaluar automatizadamente las ofertas de licitaciones publicas para determinar la oferta ganadora en funcion de los criterios de seleccion"
"Chile","Systems","Procurement","LLM OBservatorio - Deteccion de irregularidades en procesos de compra"
"Chile","Systems","Procurement","Comparación de precios  - match de productos entre canales de compra y mercado para la determinacion de ineficiencias en las compras públicas"
"Congo (DRC)","Agency","Agency","AI State exam correction (Snote Manager)"
"Congo (DRC)","Agency","Agency","AI data analysis in the field of the universal health coverage"
"Congo (DRC)","Agency","Agency","AI data mining exploration and analysis"
"Costa Rica","Agency","Agency","Gestión del tránsito"
"Costa Rica","Agency","Agency","Solución basada en IA para mejorar servicios de atención a mujeres"
"Costa Rica","Agency","Agency","IA y Big Data para presupuestos"
"Czechia","Agency","Agency","AI assistant for preparation of municipal IT strategies(""informační koncepce""). Purpose: use of AI (generative AI, LLM and NLP) to support municipalities in preparing municipal  ICT strategies through guided questionnaires, recommendations, and structured outputs, addressing capacity gaps in local public administrations."
"Czechia","Agency","Agency","AI-assisted pre-filling of public service forms. Purpose: Use of AI (LLM, NLP and conversational interfaces) to support users in completing electronic forms, reducing errors and improving accessibility of digital public services.  The AI use within the Digital and Information Agency is currently focused on pilot projects and experimentation, with the aim of validating use cases before wider deoployment across public administation."
"Czechia","Agency","Agency","AI pilot project in the central filing office of the Ministry of Interior for distributing delivered digital submissions."
"Czechia","Manager","Education","Microsoft Copilot M365 - for 100 employees (the rest has Copilot chat at their disposal)"
"Czechia","Manager","Education","Support for administrative processes of some subsidy programs, including automation of email processing"
"Czechia","Manager","Education","Support for decision-making processes within the agenda of recognition of foreign education for health and social insurance purposes"
"Czechia","Manager","Procurement","Anakonda - automation of funds targeting regional development"
"Czechia","Manager","Procurement","Checker -  automated evaluation of requests for funds targeting low amount contracts"
"Czechia","Manager","Procurement","Meeting minutes automation"
"Czechia","Manager","Tax","POC ADAM - The aim of the service was to develop, test, and evaluate a functional prototype of an internal chatbot with AI elements, based on selected implementation structure documents, with a focus on error rate. The chatbot is intended to answer questions, provide"
"Czechia","Manager","Tax","--"
"Czechia","Systems","Procurement","Zakazky.gov - AI assistant for searching from within currently available public contracts"
"Czechia","Systems","Procurement","Checker - automation of document validation of small public contracts"
"Ecuador","Agency","Agency","No aplica, en el Ecuador estamos trabajando en la Gobernanza de IA."
"Egypt","Agency","Agency","Title: Breast Cancer (MASA)
Application Domain Healthcare
	 
Technology Domain Computer vision
Brief:
Early detection is the most powerful tool in the fight against breast cancer. The Breast Cancer (MASA) AI-driven diagnostic solution supports radiologists and oncologists, enhancing the accuracy of mammogram interpretations, ensuring that life-saving diagnoses happen with an accuracy close to 90% for Egyptian women.
Description: 
Breast cancer is the most common cancer occurring in women worldwide. Early diagnosis of breast cancer can lead to proper treatment of affected patients, increase breast cancer survival rates, and significant reduction of treatment costs, personal trauma, and social burden. Screening for early diagnosis and treatment is a major step towards fighting the disease. Using artificial intelligence for screening and early detection can help with the process.
The Breast Cancer (MASA) solution has been developed using artificial intelligence, specifically computer vision techniques, to assist radiologists and oncologists in breast cancer detection during mammogram-based screening. The center in partnership with the Baheya Foundation created a reliable, and high-quality data set that was be used for training the AI models using mammograms from 60K Egyptian women.
The solution analyzes mammogram images to detect abnormal masses, classify them as benign or malignant, identify calcifications, detect asymmetrical features between breasts, while considering the breast tissue density according to the ACR classification. Results are presented according to the global BI-RADS standard. The solution accuracy is over 90% for Egyptian women.
With the deployment of the solution in Baheya hospitals, and solution launch in August 2025, the solution will help automate some of the breast cancer diagnosis tasks, aiding medical staff, reducing the examination costs, increasing the efficiency of this process, and making it available to a larger number of women for periodic checkup."
"Ethiopia","Agency","Agency","Mela Agent"
"Ethiopia","Agency","Agency","smart court systems"
"Ethiopia","Agency","Agency","Immigration and citizen service"
"Greece","Agency","Agency","mAIgov – AI Citizen Service Assistant: Its purpose is to provide automated, natural language assistance to citizens regarding public services, administrative procedures, and the contents of the gov.gr portal. In addition, it has recently been embedded in gov.gr wallet."
"Greece","Agency","Agency","Contracts' check in Cadastre: AI recognizes the content of contracts, identifies critical legal elements, and automatically generates recommendations to the supervisor, who makes the final decision."
"Greece","Manager","CivilService","Goal Setting"
"Greece","Manager","CivilService","“Procedures”"
"Greece","Manager","CivilService","WorkForce Plan"
"Greece","Manager","Education","School vocational guidance using Machine Learning Techniques"
"Greece","Manager","Education","AI assistant of Panhellenic Schools Network"
"Greece","Manager","Education","AI focus within the “Education Innovation Centers” for capacity‑building and pedagogical AI uses"
"Greece","Manager","Tax","GEMINI – Tax data and other relevant economic data, data sources, legislation, complex questions regarding legislation, tax simulations based on special designed prompts"
"Greece","Manager","Tax","CHATGPT - inquiries concerning legislation and several special tax issues , best practices in EU"
"Greece","Manager","Tax","COPILOT - Tax data and other relevant economic data, data sources, legislation, complex questions regarding legislation, tax simulations"
"Greece","Systems","CivilService","Goal Setting"
"Greece","Systems","CivilService","Performance Management"
"Greece","Systems","CivilService","Workforce Planning"
"Greece","Systems","Education","Eduplan"
"Guatemala","Agency","Agency","Chat GPT - Asistente personal para servidores públicos"
"Guatemala","Agency","Agency","Gemini"
"Guatemala","Agency","Agency","Copilot"
"Guatemala","Manager","Education","Lenguaje natural  para hacer consultas sobre la base de datos de estudiantes y centros educativos."
"Guatemala","Manager","Education","Lago de datos"
"Guatemala","Manager","Education","Chatbot para atención de consultas en general sobre los trámites simplificados utilizando lenguaje natural"
"Guatemala","Systems","Education","Consulta al sistema de registros educativos y de docentes utilizando lenguaje natural"
"Guatemala","Systems","Education","Lago de Datos para consultas a registros de Estudiantes, Docentes"
"Guatemala","Systems","Education","Chatbot para atención de consultas sobre los trámites administrativos simplificados con lenguaje natural"
"Hungary","Agency","Agency","1818 MIA Chatbot - hybrid chatbot with text-to-speech and speech-to-text functionalities to support clients of various connected public services. The MIA chatbot is an in‑house, custom‑developed hybrid chatbot service that we have been using at the 1818 Government Hotline since 2022 not to replace human intelligence, but to support and enhance operators' work. In 2025, MIA was already able to respond to 63% of customer inquiries without operator intervention. However, in more complex life situations - where precise answers are required and hallucination‑related errors must be avoided - the chatbot redirects the conversation to a human operator. These cases fall into two categories: in most of them, the chatbot still provides answer suggestions to the operator, who can select from them, significantly speeding up response times. In the more complicated cases making up a few percent of all questions, the operator provides the final answer directly.
Currently, MIA does not use a large language model; therefore, it does not perform LLM‑based analysis of customer questions and does not search in any RAG-model knowledge base. Instead, it learns exclusively from conversations between operators and customers, and only provides automated responses for pre‑validated question‑answer pairs."
"Hungary","Agency","Agency","AI-assisted service management in the Municipality ASP service (centrally provided SaaS package of specialised softwares for the 3200 local municipalities in Hungary): Since a significant share of incoming incident tickets are not actual faults but stem from users’ lack of knowledge, an AI‑based self‑learning algorithm has been introduced to support back‑office ticket handling, significantly easing the workload of service managers. (Similar AI-assisted pilots are ongoing in different sectors, mostly based on in-house developments.)"
"Hungary","Agency","Agency","Piloting the use of Microsoft Copilot in office work."
"Hungary","Manager","CivilService","The Hungarian Governmental Personnel Decision Support IT System (EU funded project). Main purpose: workflow automation and knowledge management."
"Hungary","Manager","Health","OkosSzolgáltatások (Healthcare Smart Services) - The OkosSzolgáltatások (Smart Services) platform is middleware accessible through the eMedSolution medical system, which aims to provide single-point access to new, innovative, primarily AI-based smart services developed in the healthcare sector. Currently, the development of platforms displaying care, prescription, laboratory and combined healthcare data, a chat function for healthcare documents, and other applications connected as a result of cooperation with other healthcare organizations is underway."
"Hungary","Manager","Health","Brainomix (medical imaging with an AI-powered platform that automates validated imaging biomarkers)"
"Hungary","Manager","Health","Colorectal carcinoma detection AI (CRC)"
"Hungary","Manager","Tax","Personal Income Tax Chatbot, for answering questions that the taxpayers ask from our customer service"
"Hungary","Manager","Tax","CustomGPT for eVAT and Onlne Invoice systems, the main purpose is to give technical support for programmers using these systems"
"Hungary","Systems","Health","The OkosSzolgáltatások (Smart Services) platform is middleware accessible through the eMedSolution medical system, which aims to provide single-point access to new, innovative, primarily AI-based smart services developed in the healthcare sector. Currently, the development of platforms displaying care, prescription, laboratory and combined healthcare data, a chat function for healthcare documents, and other applications connected as a result of cooperation with other healthcare organizations is underway."
"Hungary","Systems","PublicFinance","MiniMaxAI/MiniMax-M2.5 - Accounting rule base optimalization for reporting consolidation"
"Hungary","Systems","PublicFinance","IBM Watson – Analysis and prediction"
"Hungary","Systems","PublicFinance","Internal developed ML model - Forecasting"
"Hungary","Systems","Tax","On-site inspection selection support"
"Hungary","Systems","Tax","X-ray image analysis support of customs inspection"
"Hungary","Systems","Tax","Invoice item categorisation"
"Jamaica","Systems","CivilService","PICA Customer Relationship Manage System"
"Jamaica","Systems","CivilService","MyHR+"
"Jamaica","Systems","CivilService","IrieFins"
"Jordan","Agency","Agency","Name: Siraj Project

Purpose: The Siraj Platform is an AI-powered smart tutoring platform specifically aligned with the Jordanian national curriculum for students and teachers. The platform designed to provide personalized, adaptive learning experiences that respond to each student’s academic level, learning pace, and individual needs."
